ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
Xelaev18009604m.g,Xelaev18009604m.g,NA,NA,NA
Xelaev18009605m.g,Xelaev18009605m.g,NA,NA,NA
Xelaev18009606m.g,Xelaev18009606m.g,NA,NA,NA
Xelaev18009607m.g,Xelaev18009607m.g,NA,NA,NA
Xelaev18009609m.g,Xelaev18009609m.g,NA,NA,NA
Xelaev18009610m.g,Xelaev18009610m.g,NA,NA,NA
Xelaev18009611m.g,Xelaev18009611m.g,NA,NA,NA
Xelaev18009614m.g,Xelaev18009614m.g,NA,NA,NA
Xelaev18009619m.g,Xelaev18009619m.g,NA,NA,NA
Xelaev18009620m.g,Xelaev18009620m.g,NA,NA,NA
Xelaev18009622m.g,Xelaev18009622m.g,NA,NA,NA
Xelaev18009625m.g,Xelaev18009625m.g,NA,NA,NA
Xelaev18009626m.g,Xelaev18009626m.g,NA,NA,NA
Xelaev18009632m.g,Xelaev18009632m.g,NA,NA,NA
Xelaev18009634m.g,Xelaev18009634m.g,NA,NA,NA
Xelaev18009648m.g,Xelaev18009648m.g,NA,NA,NA
Xelaev18009651m.g,Xelaev18009651m.g,NA,NA,NA
Xelaev18009652m.g,Xelaev18009652m.g,NA,NA,NA
Xelaev18009658m.g,Xelaev18009658m.g,NA,NA,NA
Xelaev18009661m.g,Xelaev18009661m.g,NA,NA,NA
Xelaev18009676m.g,Xelaev18009676m.g,NA,NA,NA
Xelaev18009682m.g,Xelaev18009682m.g,NA,NA,NA
Xelaev18009683m.g,Xelaev18009683m.g,NA,NA,NA
Xelaev18009684m.g,loc101730503.S,NA,NA,NA
Xelaev18009685m.g,Xelaev18009685m.g,NA,NA,NA
Xelaev18009686m.g,Xelaev18009686m.g,NA,NA,NA
Xelaev18009690m.g,Xelaev18009690m.g,NA,NA,NA
Xelaev18009691m.g,Xelaev18009691m.g,NA,NA,NA
Xelaev18009697m.g,Xelaev18009697m.g,NA,NA,NA
Xelaev18009704m.g,Xelaev18009704m.g,NA,NA,NA
Xelaev18009711m.g,Xelaev18009711m.g,NA,NA,NA
Xelaev18009713m.g,Xelaev18009713m.g,NA,NA,NA
Xelaev18009716m.g,Xelaev18009716m.g,NA,NA,NA
Xelaev18009718m.g,Xelaev18009718m.g,NA,NA,NA
Xelaev18009723m.g,Xelaev18009723m.g,NA,NA,NA
Xelaev18009739m.g,Xelaev18009739m.g,NA,NA,NA
Xelaev18009748m.g,Xelaev18009748m.g,NA,NA,NA
Xelaev18009752m.g,Xelaev18009752m.g,NA,NA,NA
Xelaev18009754m.g,Xetrov90001450m.S,NA,NA,NA
Xelaev18009756m.g,Xelaev18009756m.g,NA,NA,NA
Xelaev18009757m.g,Xelaev18009757m.g,NA,NA,NA
Xelaev18009763m.g,Xelaev18009763m.g,NA,NA,NA
Xelaev18009765m.g,Xelaev18009765m.g,NA,NA,NA
Xelaev18009766m.g,Xelaev18009766m.g,NA,NA,NA
Xelaev18009774m.g,loc101734868.S,NA,NA,NA
Xelaev18009779m.g,Xelaev18009779m.g,NA,NA,NA
Xelaev18009782m.g,Xelaev18009782m.g,NA,NA,NA
Xelaev18009790m.g,Xelaev18009790m.g,NA,NA,NA
Xelaev18009827m.g,Xelaev18009827m.g,NA,NA,NA
Xelaev18009831m.g,loc100492669.S,NA,NA,NA
Xelaev18009838m.g,Xelaev18009838m.g,NA,NA,NA
Xelaev18009840m.g,acer1.S,NA,NA,NA
Xelaev18009843m.g,Xelaev18009843m.g,NA,NA,NA
Xelaev18009846m.g,Xelaev18009846m.g,NA,NA,NA
Xelaev18009848m.g,Xelaev18009848m.g,NA,NA,NA
Xelaev18009852m.g,jsrp1.S,NA,NA,NA
Xelaev18009853m.g,Xelaev18009853m.g,NA,NA,NA
Xelaev18009857m.g,Xelaev18009857m.g,NA,NA,NA
Xelaev18009861m.g,Xelaev18009861m.g,NA,NA,NA
Xelaev18009870m.g,Xelaev18009870m.g,NA,NA,NA
Xelaev18009871m.g,Xelaev18009871m.g,NA,NA,NA
Xelaev18009873m.g,Xelaev18009873m.g,NA,NA,NA
Xelaev18009875m.g,loc100496955.S,NA,NA,NA
Xelaev18009876m.g,Xelaev18009876m.g,NA,NA,NA
Xelaev18009885m.g,Xelaev18009885m.g,NA,NA,NA
Xelaev18009886m.g,Xelaev18009886m.g,NA,NA,NA
Xelaev18009887m.g,Xelaev18009887m.g,NA,NA,NA
Xelaev18009888m.g,Xelaev18009888m.g,NA,NA,NA
Xelaev18009900m.g,Xelaev18009900m.g,NA,NA,NA
Xelaev18009903m.g,Xelaev18009903m.g,NA,NA,NA
Xelaev18009906m.g,Xelaev18009906m.g,NA,NA,NA
Xelaev18009926m.g,Xelaev18009926m.g,NA,NA,NA
Xelaev18009929m.g,Xelaev18009929m.g,NA,NA,NA
Xelaev18009943m.g,Xetrov90013307m.S,NA,NA,NA
Xelaev18009945m.g,loc101731250.S,NA,NA,NA
Xelaev18009952m.g,Xelaev18009952m.g,NA,NA,NA
Xelaev18009960m.g,Xelaev18009960m.g,NA,NA,NA
Xelaev18009969m.g,Xelaev18009969m.g,NA,NA,NA
Xelaev18009970m.g,Xelaev18009970m.g,NA,NA,NA
Xelaev18009972m.g,loc100486734-like.S,NA,NA,NA
Xelaev18009973m.g,Xelaev18009973m.g,NA,NA,NA
Xelaev18009977m.g,Xelaev18009977m.g,NA,NA,NA
Xelaev18009979m.g,Xelaev18009979m.g,NA,NA,NA
Xelaev18009980m.g,Xelaev18009980m.g,NA,NA,NA
Xelaev18009989m.g,Xelaev18009989m.g,NA,NA,NA
Xelaev18009991m.g,Xelaev18009991m.g,NA,NA,NA
Xelaev18009993m.g,Xelaev18009993m.g,NA,NA,NA
Xelaev18009994m.g,Xelaev18009994m.g,NA,NA,NA
Xelaev18009996m.g,Xelaev18009996m.g,NA,NA,NA
Xelaev18009998m.g,Xelaev18009998m.g,NA,NA,NA
Xelaev18009999m.g,Xelaev18009999m.g,NA,NA,NA
Xelaev18010010m.g,Xelaev18010010m.g,NA,NA,NA
Xelaev18010018m.g,Xelaev18010018m.g,NA,NA,NA
Xelaev18010019m.g,Xelaev18010019m.g,NA,NA,NA
Xelaev18010041m.g,Xelaev18010041m.g,NA,NA,NA
Xelaev18010047m.g,Xelaev18010047m.g,NA,NA,NA
Xelaev18010049m.g,Xelaev18010049m.g,NA,NA,NA
Xelaev18010053m.g,Xelaev18010053m.g,NA,NA,NA
Xelaev18010055m.g,Xelaev18010055m.g,NA,NA,NA
Xelaev18010059m.g,Xelaev18010059m.g,NA,NA,NA
Xelaev18010062m.g,loc101733619.S,NA,NA,NA
Xelaev18010063m.g,Xelaev18010063m.g,NA,NA,NA
Xelaev18010066m.g,Xelaev18010066m.g,NA,NA,NA
Xelaev18010067m.g,Xelaev18010067m.g,NA,NA,NA
Xelaev18010068m.g,Xelaev18010068m.g,NA,NA,NA
Xelaev18010070m.g,Xelaev18010070m.g,NA,NA,NA
Xelaev18010072m.g,Xelaev18010072m.g,NA,NA,NA
Xelaev18010074m.g,Xelaev18010074m.g,NA,NA,NA
Xelaev18010076m.g,Xelaev18010076m.g,NA,NA,NA
Xelaev18010083m.g,loc100486380.S,NA,NA,NA
Xelaev18010086m.g,Xelaev18010086m.g,NA,NA,NA
Xelaev18010089m.g,Xetrov90002247m.S,NA,NA,NA
Xelaev18010099m.g,Xelaev18010099m.g,NA,NA,NA
Xelaev18010102m.g,Xelaev18010102m.g,NA,NA,NA
Xelaev18010105m.g,Xelaev18010105m.g,NA,NA,NA
Xelaev18010110m.g,Xelaev18010110m.g,NA,NA,NA
Xelaev18010120m.g,Xetrov90023874m.S,NA,NA,NA
Xelaev18010126m.g,Xelaev18010126m.g,NA,NA,NA
Xelaev18010133m.g,Xelaev18010133m.g,NA,NA,NA
Xelaev18010138m.g,Xelaev18010138m.g,NA,NA,NA
Xelaev18010140m.g,Xelaev18010140m.g,NA,NA,NA
Xelaev18010141m.g,Xelaev18010141m.g,NA,NA,NA
Xelaev18010142m.g,Xelaev18010142m.g,NA,NA,NA
Xelaev18010144m.g,Xelaev18010144m.g,NA,NA,NA
Xelaev18010145m.g,Xelaev18010145m.g,NA,NA,NA
Xelaev18010161m.g,Xelaev18010161m.g,NA,NA,NA
Xelaev18010163m.g,Xelaev18010163m.g,NA,NA,NA
Xelaev18010172m.g,Xelaev18010172m.g,NA,NA,NA
Xelaev18010177m.g,Xetrov90002349m.S,NA,NA,NA
Xelaev18010179m.g,Xetrov90002352m.S,NA,NA,NA
Xelaev18010183m.g,Xelaev18010183m.g,NA,NA,NA
Xelaev18010187m.g,Xelaev18010187m.g,NA,NA,NA
Xelaev18010194m.g,Xelaev18010194m.g,NA,NA,NA
Xelaev18010197m.g,Xelaev18010197m.g,NA,NA,NA
Xelaev18010201m.g,Xelaev18010201m.g,NA,NA,NA
Xelaev18010211m.g,loc100486385.S,NA,NA,NA
Xelaev18010234m.g,Xelaev18010234m.g,NA,NA,NA
Xelaev18010240m.g,Xelaev18010240m.g,NA,NA,NA
Xelaev18010249m.g,Xelaev18010249m.g,NA,NA,NA
Xelaev18010252m.g,Xelaev18010252m.g,NA,NA,NA
Xelaev18010256m.g,Xelaev18010256m.g,NA,NA,NA
Xelaev18010258m.g,trav.S,NA,NA,NA
Xelaev18010259m.g,Xelaev18010259m.g,NA,NA,NA
Xelaev18010260m.g,Xelaev18010260m.g,NA,NA,NA
Xelaev18010262m.g,Xelaev18010262m.g,NA,NA,NA
Xelaev18010263m.g,Xelaev18010263m.g,NA,NA,NA
Xelaev18010267m.g,Xelaev18010267m.g,NA,NA,NA
Xelaev18010274m.g,Xetrov90002542m.S,NA,NA,NA
Xelaev18010275m.g,Xetrov90002543m.S,NA,NA,NA
Xelaev18010276m.g,Xetrov90002544m.S,NA,NA,NA
Xelaev18010280m.g,Xelaev18010280m.g,NA,NA,NA
Xelaev18010296m.g,Xelaev18010296m.g,NA,NA,NA
Xelaev18010303m.g,Xelaev18010303m.g,NA,NA,NA
Xelaev18010305m.g,loc100496615.S,NA,NA,NA
Xelaev18010307m.g,Xelaev18010307m.g,NA,NA,NA
Xelaev18010318m.g,Xelaev18010318m.g,NA,NA,NA
Xelaev18010328m.g,loc100495683.S,NA,NA,NA
Xelaev18010331m.g,Xelaev18010331m.g,NA,NA,NA
Xelaev18010333m.g,Xelaev18010333m.g,NA,NA,NA
Xelaev18010340m.g,Xelaev18010340m.g,NA,NA,NA
Xelaev18010343m.g,Xelaev18010343m.g,NA,NA,NA
Xelaev18010353m.g,Xetrov90002666m.S,NA,NA,NA
Xelaev18010366m.g,Xelaev18010366m.g,NA,NA,NA
Xelaev18010377m.g,Xelaev18010377m.g,NA,NA,NA
Xelaev18010378m.g,Xelaev18010378m.g,NA,NA,NA
Xelaev18010390m.g,Xelaev18010390m.g,NA,NA,NA
Xelaev18010397m.g,Xelaev18010397m.g,NA,NA,NA
Xelaev18010399m.g,Xetrov90002790m.S,NA,NA,NA
Xelaev18010400m.g,Xelaev18010400m.g,NA,NA,NA
Xelaev18010407m.g,Xetrov90002799m.S,NA,NA,NA
Xelaev18010413m.g,Xelaev18010413m.g,NA,NA,NA
Xelaev18010415m.g,Xelaev18010415m.g,NA,NA,NA
Xelaev18010416m.g,Xelaev18010416m.g,NA,NA,NA
Xelaev18010417m.g,Xelaev18010417m.g,NA,NA,NA
Xelaev18010420m.g,Xelaev18010420m.g,NA,NA,NA
Xelaev18010422m.g,loc100494211.S,NA,NA,NA
Xelaev18010427m.g,Xelaev18010427m.g,NA,NA,NA
Xelaev18010433m.g,Xelaev18010433m.g,NA,NA,NA
Xelaev18010434m.g,Xelaev18010434m.g,NA,NA,NA
Xelaev18010442m.g,Xelaev18010442m.g,NA,NA,NA
Xelaev18010448m.g,Xelaev18010448m.g,NA,NA,NA
Xelaev18010451m.g,Xetrov90013289m.S,NA,NA,NA
Xelaev18010453m.g,Xetrov90002854m.S,NA,NA,NA
Xelaev18010469m.g,acads.S,NA,NA,NA
Xelaev18010471m.g,Xelaev18010471m.g,NA,NA,NA
Xelaev18010474m.g,Xelaev18010474m.g,NA,NA,NA
Xelaev18010482m.g,Xelaev18010482m.g,NA,NA,NA
Xelaev18010486m.g,Xelaev18010486m.g,NA,NA,NA
Xelaev18010490m.g,Xelaev18010490m.g,NA,NA,NA
Xelaev18010495m.g,Xelaev18010495m.g,NA,NA,NA
Xelaev18010500m.g,Xelaev18010500m.g,NA,NA,NA
Xelaev18010503m.g,Xelaev18010503m.g,NA,NA,NA
Xelaev18010513m.g,loc101733491.S,NA,NA,NA
Xelaev18010515m.g,Xelaev18010515m.g,NA,NA,NA
Xelaev18010519m.g,Xelaev18010519m.g,NA,NA,NA
Xelaev18010525m.g,Xelaev18010525m.g,NA,NA,NA
Xelaev18010530m.g,Xelaev18010530m.g,NA,NA,NA
Xelaev18010531m.g,Xetrov90002989m.S,NA,NA,NA
Xelaev18010532m.g,Xelaev18010532m.g,NA,NA,NA
Xelaev18010541m.g,Xelaev18010541m.g,NA,NA,NA
Xelaev18010544m.g,Xelaev18010544m.g,NA,NA,NA
Xelaev18010565m.g,Xelaev18010565m.g,NA,NA,NA
Xelaev18010574m.g,Xelaev18010574m.g,NA,NA,NA
Xelaev18010577m.g,stx2.S,NA,NA,NA
Xelaev18010578m.g,Xetrov90003056m.S,NA,NA,NA
Xelaev18010580m.g,Xelaev18010580m.g,NA,NA,NA
Xelaev18010594m.g,Xelaev18010594m.g,NA,NA,NA
Xelaev18010597m.g,Xelaev18010597m.g,NA,NA,NA
Xelaev18010599m.g,Xelaev18010599m.g,NA,NA,NA
Xelaev18010600m.g,loc100487427.S,NA,NA,NA
Xelaev18010601m.g,Xelaev18010601m.g,NA,NA,NA
Xelaev18010603m.g,loc101734664.S,NA,NA,NA
Xelaev18010606m.g,Xelaev18010606m.g,NA,NA,NA
Xelaev18010613m.g,Xelaev18010613m.g,NA,NA,NA
Xelaev18010620m.g,Xelaev18010620m.g,NA,NA,NA
Xelaev18010621m.g,Xelaev18010621m.g,NA,NA,NA
Xelaev18010624m.g,Xelaev18010624m.g,NA,NA,NA
Xelaev18010627m.g,Xetrov90003125m.S,NA,NA,NA
Xelaev18010631m.g,Xelaev18010631m.g,NA,NA,NA
Xelaev18010636m.g,Xelaev18010636m.g,NA,NA,NA
Xelaev18010637m.g,Xelaev18010637m.g,NA,NA,NA
Xelaev18010638m.g,Xelaev18010638m.g,NA,NA,NA
Xelaev18010640m.g,Xelaev18010640m.g,NA,NA,NA
Xelaev18010649m.g,Xelaev18010649m.g,NA,NA,NA
Xelaev18010663m.g,Xelaev18010663m.g,NA,NA,NA
Xelaev18010666m.g,Xelaev18010666m.g,NA,NA,NA
Xelaev18010677m.g,Xelaev18010677m.g,NA,NA,NA
Xelaev18010678m.g,Xelaev18010678m.g,NA,NA,NA
Xelaev18010680m.g,Xelaev18010680m.g,NA,NA,NA
Xelaev18010683m.g,Xelaev18010683m.g,NA,NA,NA
Xelaev18010687m.g,Xelaev18010687m.g,NA,NA,NA
Xelaev18010688m.g,Xelaev18010688m.g,NA,NA,NA
Xelaev18010696m.g,Xetrov90003216m.S,NA,NA,NA
Xelaev18010699m.g,Xelaev18010699m.g,NA,NA,NA
Xelaev18010702m.g,Xelaev18010702m.g,NA,NA,NA
Xelaev18010703m.g,Xelaev18010703m.g,NA,NA,NA
Xelaev18010709m.g,Xelaev18010709m.g,NA,NA,NA
Xelaev18010712m.g,Xelaev18010712m.g,NA,NA,NA
Xelaev18010717m.g,Xelaev18010717m.g,NA,NA,NA
Xelaev18010721m.g,Xelaev18010721m.g,NA,NA,NA
Xelaev18010722m.g,loc101733398.S,NA,NA,NA
Xelaev18010736m.g,Xelaev18010736m.g,NA,NA,NA
Xelaev18010748m.g,Xelaev18010748m.g,NA,NA,NA
Xelaev18010753m.g,Xelaev18010753m.g,NA,NA,NA
Xelaev18010755m.g,Xelaev18010755m.g,NA,NA,NA
Xelaev18010756m.g,Xelaev18010756m.g,NA,NA,NA
Xelaev18010759m.g,commd10.S,NA,NA,NA
Xelaev18010766m.g,Xelaev18010766m.g,NA,NA,NA
Xelaev18010768m.g,Xelaev18010768m.g,NA,NA,NA
Xelaev18010776m.g,Xelaev18010776m.g,NA,NA,NA
Xelaev18010784m.g,Xelaev18010784m.g,NA,NA,NA
Xelaev18010788m.g,Xelaev18010788m.g,NA,NA,NA
Xelaev18010791m.g,Xelaev18010791m.g,NA,NA,NA
Xelaev18010799m.g,Xelaev18010799m.g,NA,NA,NA
Xelaev18010808m.g,Xelaev18010808m.g,NA,NA,NA
Xelaev18010815m.g,Xetrov90003468m.S,NA,NA,NA
Xelaev18010816m.g,Xelaev18010816m.g,NA,NA,NA
Xelaev18010818m.g,Xelaev18010818m.g,NA,NA,NA
Xelaev18010820m.g,Xelaev18010820m.g,NA,NA,NA
Xelaev18010822m.g,Xelaev18010822m.g,NA,NA,NA
Xelaev18010823m.g,Xelaev18010823m.g,NA,NA,NA
Xelaev18010825m.g,Xelaev18010825m.g,NA,NA,NA
Xelaev18010826m.g,Xelaev18010826m.g,NA,NA,NA
Xelaev18010831m.g,Xelaev18010831m.g,NA,NA,NA
Xelaev18010832m.g,Xetrov90003447m.S,NA,NA,NA
Xelaev18010833m.g,loc100488885-like.S,NA,NA,NA
Xelaev18010835m.g,Xelaev18010835m.g,NA,NA,NA
Xelaev18010839m.g,Xelaev18010839m.g,NA,NA,NA
Xelaev18010840m.g,Xelaev18010840m.g,NA,NA,NA
Xelaev18010841m.g,Xelaev18010841m.g,NA,NA,NA
Xelaev18010842m.g,Xelaev18010842m.g,NA,NA,NA
Xelaev18010845m.g,Xelaev18010845m.g,NA,NA,NA
Xelaev18010855m.g,Xelaev18010855m.g,NA,NA,NA
Xelaev18010866m.g,loc733945.S,NA,NA,NA
Xelaev18010881m.g,Xelaev18010881m.g,NA,NA,NA
Xelaev18010888m.g,ankrd31.S,NA,NA,NA
Xelaev18010890m.g,Xelaev18010890m.g,NA,NA,NA
Xelaev18010893m.g,Xetrov90024524m.S,NA,NA,NA
Xelaev18010896m.g,Xelaev18010896m.g,NA,NA,NA
Xelaev18010900m.g,Xelaev18010900m.g,NA,NA,NA
Xelaev18010902m.g,Xelaev18010902m.g,NA,NA,NA
Xelaev18010907m.g,Xelaev18010907m.g,NA,NA,NA
Xelaev18010910m.g,Xelaev18010910m.g,NA,NA,NA
Xelaev18010915m.g,Xelaev18010915m.g,NA,NA,NA
Xelaev18010919m.g,Xelaev18010919m.g,NA,NA,NA
Xelaev18010922m.g,Xelaev18010922m.g,NA,NA,NA
Xelaev18010924m.g,Xelaev18010924m.g,NA,NA,NA
Xelaev18010927m.g,loc105946425.S,NA,NA,NA
Xelaev18010933m.g,Xelaev18010933m.g,NA,NA,NA
Xelaev18010936m.g,Xelaev18010936m.g,NA,NA,NA
Xelaev18010948m.g,Xelaev18010948m.g,NA,NA,NA
Xelaev18010949m.g,Xelaev18010949m.g,NA,NA,NA
Xelaev18010950m.g,Xelaev18010950m.g,NA,NA,NA
Xelaev18010952m.g,Xelaev18010952m.g,NA,NA,NA
Xelaev18010953m.g,Xelaev18010953m.g,NA,NA,NA
Xelaev18010954m.g,Xelaev18010954m.g,NA,NA,NA
Xelaev18010970m.g,Xelaev18010970m.g,NA,NA,NA
Xelaev18010979m.g,Xelaev18010979m.g,NA,NA,NA
Xelaev18010982m.g,Xelaev18010982m.g,NA,NA,NA
Xelaev18010989m.g,Xelaev18010989m.g,NA,NA,NA
Xelaev18010993m.g,Xetrov90031005m.S,NA,NA,NA
Xelaev18010998m.g,Xelaev18010998m.g,NA,NA,NA
Xelaev18011003m.g,Xelaev18011003m.g,NA,NA,NA
Xelaev18011009m.g,Xelaev18011009m.g,NA,NA,NA
Xelaev18011023m.g,Xetrov90003673m.S,NA,NA,NA
Xelaev18011025m.g,Xelaev18011025m.g,NA,NA,NA
Xelaev18011030m.g,Xelaev18011030m.g,NA,NA,NA
Xelaev18011033m.g,Xetrov90027966m.S,NA,NA,NA
Xelaev18011034m.g,Xelaev18011034m.g,NA,NA,NA
Xelaev18011035m.g,Xelaev18011035m.g,NA,NA,NA
Xelaev18011039m.g,Xelaev18011039m.g,NA,NA,NA
Xelaev18011044m.g,Xelaev18011044m.g,NA,NA,NA
Xelaev18011049m.g,Xelaev18011049m.g,NA,NA,NA
Xelaev18011059m.g,Xelaev18011059m.g,NA,NA,NA
Xelaev18011064m.g,Xelaev18011064m.g,NA,NA,NA
Xelaev18011065m.g,Xelaev18011065m.g,NA,NA,NA
Xelaev18011069m.g,Xetrov90003782m.S,NA,NA,NA
Xelaev18011075m.g,Xetrov90015723m.S,NA,NA,NA
Xelaev18011081m.g,Xelaev18011081m.g,NA,NA,NA
Xelaev18011082m.g,Xelaev18011082m.g,NA,NA,NA
Xelaev18011086m.g,Xelaev18011086m.g,NA,NA,NA
Xelaev18011091m.g,Xelaev18011091m.g,NA,NA,NA
Xelaev18011092m.g,Xelaev18011092m.g,NA,NA,NA
Xelaev18011097m.g,Xelaev18011097m.g,NA,NA,NA
Xelaev18011099m.g,Xelaev18011099m.g,NA,NA,NA
Xelaev18011105m.g,Xelaev18011105m.g,NA,NA,NA
Xelaev18011106m.g,Xelaev18011106m.g,NA,NA,NA
Xelaev18011110m.g,Xelaev18011110m.g,NA,NA,NA
Xelaev18011113m.g,Xetrov90030695m.S,NA,NA,NA
Xelaev18011115m.g,Xelaev18011115m.g,NA,NA,NA
Xelaev18011116m.g,Xelaev18011116m.g,NA,NA,NA
Xelaev18011120m.g,Xetrov90010191m.S,NA,NA,NA
Xelaev18011121m.g,Xelaev18011121m.g,NA,NA,NA
Xelaev18011123m.g,loxhd1.S,NA,NA,NA
Xelaev18011132m.g,Xelaev18011132m.g,NA,NA,NA
Xelaev18011136m.g,Xelaev18011136m.g,NA,NA,NA
Xelaev18011137m.g,Xelaev18011137m.g,NA,NA,NA
Xelaev18011139m.g,Xelaev18011139m.g,NA,NA,NA
Xelaev18011141m.g,Xelaev18011141m.g,NA,NA,NA
Xelaev18011142m.g,Xelaev18011142m.g,NA,NA,NA
Xelaev18011143m.g,Xelaev18011143m.g,NA,NA,NA
Xelaev18011145m.g,Xelaev18011145m.g,NA,NA,NA
Xelaev18011146m.g,Xelaev18011146m.g,NA,NA,NA
Xelaev18011147m.g,Xelaev18011147m.g,NA,NA,NA
Xelaev18011148m.g,Xelaev18011148m.g,NA,NA,NA
Xelaev18011149m.g,Xelaev18011149m.g,NA,NA,NA
Xelaev18011153m.g,Xelaev18011153m.g,NA,NA,NA
Xelaev18011154m.g,Xelaev18011154m.g,NA,NA,NA
Xelaev18011157m.g,Xelaev18011157m.g,NA,NA,NA
Xelaev18011158m.g,Xelaev18011158m.g,NA,NA,NA
Xelaev18011163m.g,ccl21.S,NA,NA,NA
Xelaev18011164m.g,ccl19.S,NA,NA,NA
Xelaev18011166m.g,Xelaev18011166m.g,NA,NA,NA
Xelaev18011167m.g,Xelaev18011167m.g,NA,NA,NA
Xelaev18011168m.g,Xelaev18011168m.g,NA,NA,NA
Xelaev18011179m.g,Xelaev18011179m.g,NA,NA,NA
Xelaev18011181m.g,Xelaev18011181m.g,NA,NA,NA
Xelaev18011182m.g,Xelaev18011182m.g,NA,NA,NA
Xelaev18011183m.g,Xetrov90030685m.L,NA,NA,NA
Xelaev18011187m.g,Xelaev18011187m.g,NA,NA,NA
Xelaev18011194m.g,Xetrov90019177m.L,NA,NA,NA
Xelaev18011196m.g,Xetrov90025900m.L,NA,NA,NA
Xelaev18011198m.g,Xelaev18011198m.g,NA,NA,NA
Xelaev18011200m.g,Xelaev18011200m.g,NA,NA,NA
Xelaev18011202m.g,loc101734364.L,NA,NA,NA
Xelaev18011203m.g,Xelaev18011203m.g,NA,NA,NA
Xelaev18011204m.g,Xelaev18011204m.g,NA,NA,NA
Xelaev18011217m.g,Xelaev18011217m.g,NA,NA,NA
Xelaev18011226m.g,Xelaev18011226m.g,NA,NA,NA
Xelaev18011228m.g,Xelaev18011228m.g,NA,NA,NA
Xelaev18011230m.g,Xelaev18011230m.g,NA,NA,NA
Xelaev18011233m.g,Xelaev18011233m.g,NA,NA,NA
Xelaev18011241m.g,Xelaev18011241m.g,NA,NA,NA
Xelaev18011242m.g,Xelaev18011242m.g,NA,NA,NA
Xelaev18011249m.g,Xelaev18011249m.g,NA,NA,NA
Xelaev18011256m.g,Xelaev18011256m.g,NA,NA,NA
Xelaev18011258m.g,Xelaev18011258m.g,NA,NA,NA
Xelaev18011259m.g,Xelaev18011259m.g,NA,NA,NA
Xelaev18011261m.g,Xelaev18011261m.g,NA,NA,NA
Xelaev18011262m.g,Xelaev18011262m.g,NA,NA,NA
Xelaev18011263m.g,Xetrov90028997m.L,NA,NA,NA
Xelaev18011264m.g,Xelaev18011264m.g,NA,NA,NA
Xelaev18011273m.g,Xelaev18011273m.g,NA,NA,NA
Xelaev18011294m.g,Xelaev18011294m.g,NA,NA,NA
Xelaev18011296m.g,Xelaev18011296m.g,NA,NA,NA
Xelaev18011297m.g,Xelaev18011297m.g,NA,NA,NA
Xelaev18011305m.g,Xelaev18011305m.g,NA,NA,NA
Xelaev18011308m.g,Xelaev18011308m.g,NA,NA,NA
Xelaev18011310m.g,Xelaev18011310m.g,NA,NA,NA
Xelaev18011311m.g,Xelaev18011311m.g,NA,NA,NA
Xelaev18011312m.g,Xelaev18011312m.g,NA,NA,NA
Xelaev18011314m.g,Xelaev18011314m.g,NA,NA,NA
Xelaev18011325m.g,Xelaev18011325m.g,NA,NA,NA
Xelaev18011328m.g,Xelaev18011328m.g,NA,NA,NA
Xelaev18011333m.g,Xelaev18011333m.g,NA,NA,NA
Xelaev18011335m.g,Xelaev18011335m.g,NA,NA,NA
Xelaev18011348m.g,Xelaev18011348m.g,NA,NA,NA
Xelaev18011349m.g,Xelaev18011349m.g,NA,NA,NA
Xelaev18011355m.g,Xelaev18011355m.g,NA,NA,NA
Xelaev18011362m.g,Xelaev18011362m.g,NA,NA,NA
Xelaev18011371m.g,Xelaev18011371m.g,NA,NA,NA
Xelaev18011373m.g,Xelaev18011373m.g,NA,NA,NA
Xelaev18011374m.g,Xelaev18011374m.g,NA,NA,NA
Xelaev18011375m.g,Xelaev18011375m.g,NA,NA,NA
Xelaev18011377m.g,loc397775.L,NA,NA,NA
Xelaev18011380m.g,Xelaev18011380m.g,NA,NA,NA
Xelaev18011381m.g,Xelaev18011381m.g,NA,NA,NA
Xelaev18011386m.g,Xelaev18011386m.g,NA,NA,NA
Xelaev18011395m.g,Xelaev18011395m.g,NA,NA,NA
Xelaev18011396m.g,Xelaev18011396m.g,NA,NA,NA
Xelaev18011399m.g,Xelaev18011399m.g,NA,NA,NA
Xelaev18011401m.g,Xelaev18011401m.g,NA,NA,NA
Xelaev18011410m.g,Xelaev18011410m.g,NA,NA,NA
Xelaev18011417m.g,Xelaev18011417m.g,NA,NA,NA
Xelaev18011421m.g,Xelaev18011421m.g,NA,NA,NA
Xelaev18011426m.g,Xelaev18011426m.g,NA,NA,NA
Xelaev18011437m.g,Xelaev18011437m.g,NA,NA,NA
Xelaev18011441m.g,Xelaev18011441m.g,NA,NA,NA
Xelaev18011444m.g,Xelaev18011444m.g,NA,NA,NA
Xelaev18011455m.g,Xelaev18011455m.g,NA,NA,NA
Xelaev18011463m.g,Xelaev18011463m.g,NA,NA,NA
Xelaev18011467m.g,Xelaev18011467m.g,NA,NA,NA
Xelaev18011469m.g,Xelaev18011469m.g,NA,NA,NA
Xelaev18011471m.g,Xelaev18011471m.g,NA,NA,NA
Xelaev18011473m.g,loc100486197-like.L,NA,NA,NA
Xelaev18011479m.g,son.L,NA,NA,NA
